"org"                   "1.3"
"ieee8021MstpFidToMstiComponentId"                      "1.3.111.2.802.1.1.6.1.5.1.1"
"ieee8021MstpFidToMstiFid"                      "1.3.111.2.802.1.1.6.1.5.1.2"
"ieee8021MstpFidToMstiMstId"                    "1.3.111.2.802.1.1.6.1.5.1.3"

"ieee8021MstpVlanTable"                 "1.3.111.2.802.1.1.6.1.6"
"ieee8021MstpVlanEntry"                 "1.3.111.2.802.1.1.6.1.6.1"
"ieee8021MstpVlanComponentId"                   "1.3.111.2.802.1.1.6.1.6.1.1"
"ieee8021MstpVlanId"                    "1.3.111.2.802.1.1.6.1.6.1.2"
"ieee8021MstpVlanMstId"                 "1.3.111.2.802.1.1.6.1.6.1.3"

"ieee8021MstpConfigIdTable"                     "1.3.111.2.802.1.1.6.1.7"
"ieee8021MstpConfigIdEntry"                     "1.3.111.2.802.1.1.6.1.7.1"
"ieee8021MstpConfigIdComponentId"                       "1.3.111.2.802.1.1.6.1.7.1.1"
"ieee8021MstpConfigIdFormatSelector"                    "1.3.111.2.802.1.1.6.1.7.1.2"
"ieee8021MstpConfigurationName"                 "1.3.111.2.802.1.1.6.1.7.1.3"
"ieee8021MstpRevisionLevel"                     "1.3.111.2.802.1.1.6.1.7.1.4"
"ieee8021MstpConfigurationDigest"                       "1.3.111.2.802.1.1.6.1.7.1.5"

"ieee8021MstpCistPortExtensionTable"                    "1.3.111.2.802.1.1.6.1.8"
"ieee8021MstpCistPortExtensionEntry"                    "1.3.111.2.802.1.1.6.1.8.1"
"ieee8021MstpCistPortAutoEdgePort"                      "1.3.111.2.802.1.1.6.1.8.1.1"
"ieee8021MstpCistPortAutoIsolatePort"                   "1.3.111.2.802.1.1.6.1.8.1.2"
"ieee8021MstpFidToMstiV2Table"                  "1.3.111.2.802.1.1.6.1.9"
"ieee8021MstpFidToMstiV2Entry"                  "1.3.111.2.802.1.1.6.1.9.1"
"ieee8021MstpFidToMstiV2ComponentId"                    "1.3.111.2.802.1.1.6.1.9.1.1"
"ieee8021MstpFidToMstiV2Fid"                    "1.3.111.2.802.1.1.6.1.9.1.2"
"ieee8021MstpFidToMstiV2MstId"                  "1.3.111.2.802.1.1.6.1.9.1.3"
"ieee8021MstpVlanV2Table"                       "1.3.111.2.802.1.1.6.1.10"
"ieee8021MstpVlanV2Entry"                       "1.3.111.2.802.1.1.6.1.10.1"
"ieee8021MstpVlanV2ComponentId"                 "1.3.111.2.802.1.1.6.1.10.1.1"
"ieee8021MstpVlanV2Id"                  "1.3.111.2.802.1.1.6.1.10.1.2"
"ieee8021MstpVlanV2MstId"                       "1.3.111.2.802.1.1.6.1.10.1.3"
"ieee8021MstpConformance"                       "1.3.111.2.802.1.1.6.2"
"ieee8021MstpGroups"                    "1.3.111.2.802.1.1.6.2.1"
"ieee8021MstpCistGroup"                 "1.3.111.2.802.1.1.6.2.1.1"
"ieee8021MstpGroup"                     "1.3.111.2.802.1.1.6.2.1.2"
"ieee8021MstpCistPortGroup"                     "1.3.111.2.802.1.1.6.2.1.3"
"ieee8021MstpPortGroup"                 "1.3.111.2.802.1.1.6.2.1.4"
"ieee8021MstpFidToMstiGroup"                    "1.3.111.2.802.1.1.6.2.1.5"
"ieee8021MstpVlanGroup"                 "1.3.111.2.802.1.1.6.2.1.6"
"ieee8021MstpConfigIdGroup"                     "1.3.111.2.802.1.1.6.2.1.7"
"ieee8021MstpCistPortExtensionGroup"                    "1.3.111.2.802.1.1.6.2.1.8"
"ieee8021MstpFidToMstiV2Group"                  "1.3.111.2.802.1.1.6.2.1.9"
"ieee8021MstpVlanV2Group"                       "1.3.111.2.802.1.1.6.2.1.10"
"ieee8021MstpCompliances"                       "1.3.111.2.802.1.1.6.2.2"
"ieee8021MstpCompliance"                        "1.3.111.2.802.1.1.6.2.2.1"
"ieee8021MstpComplianceV2"                      "1.3.111.2.802.1.1.6.2.2.2"
"zeroDotZero"                   "0.0"
